year_month,rule,lookback_start,lookback_end,buy_date,sell_date,holdings,return,benchmark_return,spy_return,active_return,active_return_vs_spy
2015-01,rank_tail,2015-01-02,2015-01-30,2015-02-02,2015-02-27,,0.0,0.05947925167927326,0.05620470813377465,-0.05947925167927326,-0.05620470813377465
2015-02,rank_tail,2015-01-14,2015-02-27,2015-03-02,2015-03-31,RL:lb=-0.2025;buy=110.62@2015-03-02;sell=106.25@2015-03-31;mret=-0.0394 | FOSL:lb=-0.1509;buy=86.01@2015-03-02;sell=82.45@2015-03-31;mret=-0.0414 | HPQ:lb=-0.1171;buy=11.07@2015-03-02;sell=9.95@2015-03-31;mret=-0.1013 | HST:lb=-0.1147;buy=13.49@2015-03-02;sell=13.09@2015-03-31;mret=-0.0295 | FE:lb=-0.1076;buy=22.29@2015-03-02;sell=22.34@2015-03-31;mret=0.0023 | NRG:lb=-0.1056;buy=18.86@2015-03-02;sell=19.82@2015-03-31;mret=0.0505 | COL:lb=-0.0833;buy=0.55@2015-03-02;sell=0.60@2015-03-31;mret=0.0909 | IRM:lb=-0.0812;buy=19.72@2015-03-02;sell=19.83@2015-03-31;mret=0.0054 | INTC:lb=-0.0787;buy=25.69@2015-03-02;sell=24.16@2015-03-31;mret=-0.0595 | ETR:lb=-0.0783;buy=25.93@2015-03-02;sell=25.27@2015-03-31;mret=-0.0254,-0.007021673630923875,-0.00735292014423905,-0.01570559469996924,0.0003312465133151754,0.008683921069045364
2015-03,rank_tail,2015-02-17,2015-03-31,2015-04-01,2015-04-30,RIG:lb=-0.1984;buy=14.39@2015-04-01;sell=18.46@2015-04-30;mret=0.2829 | WYNN:lb=-0.1982;buy=109.04@2015-04-01;sell=96.21@2015-04-30;mret=-0.1177 | HPQ:lb=-0.1874;buy=9.95@2015-04-01;sell=10.52@2015-04-30;mret=0.0581 | GNW:lb=-0.1712;buy=7.31@2015-04-01;sell=8.79@2015-04-30;mret=0.2025 | FOSL:lb=-0.1699;buy=82.45@2015-04-01;sell=83.98@2015-04-30;mret=0.0186 | CNX:lb=-0.1665;buy=23.12@2015-04-01;sell=26.93@2015-04-30;mret=0.1646 | MU:lb=-0.1608;buy=26.47@2015-04-01;sell=27.45@2015-04-30;mret=0.0369 | GRMN:lb=-0.1553;buy=34.65@2015-04-01;sell=32.95@2015-04-30;mret=-0.0490 | MAT:lb=-0.1543;buy=19.93@2015-04-01;sell=24.57@2015-04-30;mret=0.2324 | STX:lb=-0.1491;buy=31.53@2015-04-01;sell=35.91@2015-04-30;mret=0.1390,0.09704176646608431,0.0006183686231053809,0.009833724303194957,0.09642339784297893,0.08720804216288935
2015-04,rank_tail,2015-03-18,2015-04-30,2015-05-01,2015-05-29,AMAT:lb=-0.1879;buy=17.33@2015-05-01;sell=17.71@2015-05-29;mret=0.0222 | BBY:lb=-0.1554;buy=23.61@2015-05-01;sell=23.64@2015-05-29;mret=0.0014 | HAR:lb=-0.1489;buy=7483.38@2015-05-01;sell=7202.76@2015-05-29;mret=-0.0375 | EW:lb=-0.1464;buy=21.11@2015-05-01;sell=21.79@2015-05-29;mret=0.0321 | CHRW:lb=-0.1436;buy=49.91@2015-05-01;sell=47.84@2015-05-29;mret=-0.0413 | RCL:lb=-0.1363;buy=59.87@2015-05-01;sell=67.11@2015-05-29;mret=0.1209 | BIIB:lb=-0.1262;buy=373.93@2015-05-01;sell=396.99@2015-05-29;mret=0.0617 | GLW:lb=-0.1191;buy=15.73@2015-05-01;sell=15.81@2015-05-29;mret=0.0052 | WHR:lb=-0.1172;buy=116.03@2015-05-01;sell=122.34@2015-05-29;mret=0.0543 | MAC:lb=-0.1134;buy=44.28@2015-05-01;sell=44.83@2015-05-29;mret=0.0124,0.024603851577559288,0.01236128028197947,0.012856267558777112,0.012242571295579818,0.011747584018782176
2015-05,rank_tail,2015-04-16,2015-05-29,2015-06-01,2015-06-30,FSLR:lb=-0.2096;buy=49.71@2015-06-01;sell=46.98@2015-06-30;mret=-0.0549 | WYNN:lb=-0.2059;buy=87.61@2015-06-01;sell=85.85@2015-06-30;mret=-0.0201 | URBN:lb=-0.2029;buy=34.38@2015-06-01;sell=35.00@2015-06-30;mret=0.0180 | TPR:lb=-0.1776;buy=25.75@2015-06-01;sell=25.44@2015-06-30;mret=-0.0122 | OKE:lb=-0.1568;buy=21.72@2015-06-01;sell=20.46@2015-06-30;mret=-0.0582 | FOSL:lb=-0.1526;buy=71.01@2015-06-01;sell=69.36@2015-06-30;mret=-0.0232 | APA:lb=-0.1519;buy=46.23@2015-06-01;sell=44.52@2015-06-30;mret=-0.0369 | KSS:lb=-0.1418;buy=37.97@2015-06-01;sell=36.56@2015-06-30;mret=-0.0371 | PHM:lb=-0.1415;buy=16.76@2015-06-01;sell=17.68@2015-06-30;mret=0.0550 | HOG:lb=-0.1285;buy=41.26@2015-06-01;sell=43.47@2015-06-30;mret=0.0535,-0.01043118135707255,-0.018715974483689446,-0.020312258080391388,0.008284793126616896,0.009881076723318838
2015-06,rank_tail,2015-05-18,2015-06-30,2015-07-01,2015-07-31,CNX:lb=-0.3070;buy=18.06@2015-07-01;sell=13.72@2015-07-31;mret=-0.2401 | MU:lb=-0.2960;buy=18.38@2015-07-01;sell=18.06@2015-07-31;mret=-0.0175 | LUV:lb=-0.2132;buy=29.32@2015-07-01;sell=32.08@2015-07-31;mret=0.0940 | WDC:lb=-0.1938;buy=50.17@2015-07-01;sell=55.06@2015-07-31;mret=0.0974 | RIG:lb=-0.1937;buy=15.94@2015-07-01;sell=13.11@2015-07-31;mret=-0.1774 | AAL:lb=-0.1849;buy=38.00@2015-07-01;sell=38.15@2015-07-31;mret=0.0040 | ATI:lb=-0.1804;buy=29.23@2015-07-01;sell=20.63@2015-07-31;mret=-0.2940 | RRC:lb=-0.1733;buy=46.30@2015-07-01;sell=36.89@2015-07-31;mret=-0.2033 | STX:lb=-0.1652;buy=29.05@2015-07-01;sell=30.95@2015-07-31;mret=0.0653 | FSLR:lb=-0.1638;buy=46.98@2015-07-01;sell=44.30@2015-07-31;mret=-0.0570,-0.07718072171700308,0.011137312637837127,0.02258944816380226,-0.0883180343548402,-0.09977016988080534
2015-07,rank_tail,2015-06-18,2015-07-31,2015-08-03,2015-08-31,FCX:lb=-0.4106;buy=10.62@2015-08-03;sell=9.61@2015-08-31;mret=-0.0945 | CNX:lb=-0.3165;buy=13.72@2015-08-03;sell=12.66@2015-08-31;mret=-0.0774 | QRVO:lb=-0.3154;buy=57.95@2015-08-03;sell=55.51@2015-08-31;mret=-0.0421 | NEM:lb=-0.3132;buy=13.43@2015-08-03;sell=13.36@2015-08-31;mret=-0.0058 | URI:lb=-0.2764;buy=64.88@2015-08-03;sell=67.15@2015-08-31;mret=0.0349 | MU:lb=-0.2436;buy=18.06@2015-08-03;sell=16.01@2015-08-31;mret=-0.1135 | MUR:lb=-0.2339;buy=22.20@2015-08-03;sell=21.21@2015-08-31;mret=-0.0448 | RRC:lb=-0.2316;buy=36.89@2015-08-03;sell=36.21@2015-08-31;mret=-0.0183 | FTI:lb=-0.2226;buy=22.37@2015-08-03;sell=23.74@2015-08-31;mret=0.0617 | RIG:lb=-0.2186;buy=13.11@2015-08-03;sell=14.23@2015-08-31;mret=0.0854,-0.015194808312456232,-0.052402266897019434,-0.060950449139161034,0.0372074585845632,0.0457556408267048
2015-08,rank_tail,2015-07-20,2015-08-31,2015-09-01,2015-09-30,GNW:lb=-0.3166;buy=5.18@2015-09-01;sell=4.62@2015-09-30;mret=-0.1081 | FCX:lb=-0.2930;buy=9.61@2015-09-01;sell=8.76@2015-09-30;mret=-0.0893 | QRVO:lb=-0.2763;buy=55.51@2015-09-01;sell=45.05@2015-09-30;mret=-0.1884 | BIIB:lb=-0.2730;buy=297.30@2015-09-01;sell=291.81@2015-09-30;mret=-0.0185 | TGNA:lb=-0.2610;buy=11.94@2015-09-01;sell=11.31@2015-09-30;mret=-0.0531 | VTR:lb=-0.2508;buy=34.75@2015-09-01;sell=35.90@2015-09-30;mret=0.0332 | WYNN:lb=-0.2459;buy=65.62@2015-09-01;sell=46.45@2015-09-30;mret=-0.2922 | TRIP:lb=-0.2401;buy=62.16@2015-09-01;sell=56.04@2015-09-30;mret=-0.0984 | NAVI:lb=-0.2211;buy=7.83@2015-09-01;sell=6.97@2015-09-30;mret=-0.1097 | TDC:lb=-0.2068;buy=29.23@2015-09-01;sell=28.96@2015-09-30;mret=-0.0092,-0.09402218140970253,-0.03086623484467177,-0.025515680608331537,-0.06315594656503076,-0.068506500801371
2015-09,rank_tail,2015-08-18,2015-09-30,2015-10-01,2015-10-30,WYNN:lb=-0.4156;buy=46.45@2015-10-01;sell=61.16@2015-10-30;mret=0.3168 | WMB:lb=-0.3062;buy=20.55@2015-10-01;sell=21.99@2015-10-30;mret=0.0703 | CF:lb=-0.2926;buy=33.56@2015-10-01;sell=37.95@2015-10-30;mret=0.1307 | NRG:lb=-0.2925;buy=11.83@2015-10-01;sell=10.38@2015-10-30;mret=-0.1222 | THC:lb=-0.2873;buy=36.92@2015-10-01;sell=31.37@2015-10-30;mret=-0.1503 | FMC:lb=-0.2821;buy=23.30@2015-10-01;sell=27.98@2015-10-30;mret=0.2005 | MOS:lb=-0.2815;buy=25.42@2015-10-01;sell=27.61@2015-10-30;mret=0.0861 | VRTX:lb=-0.2549;buy=104.14@2015-10-01;sell=124.74@2015-10-30;mret=0.1978 | MUR:lb=-0.2366;buy=16.56@2015-10-01;sell=19.45@2015-10-30;mret=0.1748 | AES:lb=-0.2363;buy=6.67@2015-10-01;sell=7.53@2015-10-30;mret=0.1286,0.10382869737450129,0.07191933408915552,0.08505970950325081,0.03190936328534577,0.018768987871250475
2015-10,rank_tail,2015-09-18,2015-10-30,2015-11-02,2015-11-30,CNX:lb=-0.4885;buy=5.54@2015-11-02;sell=6.56@2015-11-30;mret=0.1846 | THC:lb=-0.2951;buy=31.37@2015-11-02;sell=33.19@2015-11-30;mret=0.0580 | NRG:lb=-0.2750;buy=10.38@2015-11-02;sell=9.95@2015-11-30;mret=-0.0411 | BBBY:lb=-0.2002;buy=15.66@2015-11-02;sell=13.16@2015-11-30;mret=-0.1596 | PVH:lb=-0.1851;buy=89.59@2015-11-02;sell=89.96@2015-11-30;mret=0.0042 | PWR:lb=-0.1819;buy=19.73@2015-11-02;sell=21.63@2015-11-30;mret=0.0965 | STX:lb=-0.1663;buy=23.52@2015-11-02;sell=22.57@2015-11-30;mret=-0.0407 | HCA:lb=-0.1660;buy=63.94@2015-11-02;sell=63.27@2015-11-30;mret=-0.0106 | RRC:lb=-0.1556;buy=28.57@2015-11-02;sell=26.83@2015-11-30;mret=-0.0611 | AKAM:lb=-0.1547;buy=60.82@2015-11-02;sell=57.61@2015-11-30;mret=-0.0528,0.00269587679607608,0.002452573304066563,0.003655084220059779,0.00024330349200951673,-0.000959207423983699
2015-11,rank_tail,2015-10-16,2015-11-30,2015-12-01,2015-12-31,FCX:lb=-0.3424;buy=7.42@2015-12-01;sell=6.14@2015-12-31;mret=-0.1724 | FOSL:lb=-0.2997;buy=38.47@2015-12-01;sell=36.56@2015-12-31;mret=-0.0496 | CNX:lb=-0.2828;buy=6.56@2015-12-01;sell=6.57@2015-12-31;mret=0.0025 | KMI:lb=-0.2545;buy=14.24@2015-12-01;sell=9.01@2015-12-31;mret=-0.3670 | EQT:lb=-0.2511;buy=28.64@2015-12-01;sell=26.10@2015-12-31;mret=-0.0890 | URBN:lb=-0.2363;buy=22.40@2015-12-01;sell=22.75@2015-12-31;mret=0.0156 | BBBY:lb=-0.2335;buy=13.16@2015-12-01;sell=12.28@2015-12-31;mret=-0.0669 | OKE:lb=-0.2267;buy=15.80@2015-12-01;sell=13.22@2015-12-31;mret=-0.1635 | M:lb=-0.2257;buy=24.97@2015-12-01;sell=22.56@2015-12-31;mret=-0.0963,-0.10654688575385929,-0.02542558387804128,-0.017282454730807806,-0.08112130187581801,-0.08926443102305148
