year_month,rule,lookback_start,lookback_end,buy_date,sell_date,holdings,return
2005-01,rank_tail,2005-01-03,2005-01-31,2005-02-01,2005-02-28,,0.0
2005-02,rank_tail,2005-01-13,2005-02-28,2005-03-01,2005-03-31,BIIB:lb=-0.4042;buy=38.65@2005-03-01;sell=34.51@2005-03-31;mret=-0.1071 | CIEN:lb=-0.3242;buy=13.86@2005-03-01;sell=12.04@2005-03-31;mret=-0.1313 | VIAV:lb=-0.2978;buy=8.69@2005-03-01;sell=7.60@2005-03-31;mret=-0.1257 | SANM:lb=-0.2358;buy=33.06@2005-03-01;sell=31.32@2005-03-31;mret=-0.0526 | EBAY:lb=-0.1698;buy=16.05@2005-03-01;sell=13.96@2005-03-31;mret=-0.1303 | FNMA:lb=-0.1608;buy=53.15@2005-03-01;sell=49.51@2005-03-31;mret=-0.0686 | QCOM:lb=-0.1420;buy=22.66@2005-03-01;sell=23.02@2005-03-31;mret=0.0161 | DDS:lb=-0.1247;buy=15.14@2005-03-01;sell=17.51@2005-03-31;mret=0.1563 | DXC:lb=-0.1231;buy=14.15@2005-03-01;sell=14.03@2005-03-31;mret=-0.0082 | FMCC:lb=-0.1157;buy=55.51@2005-03-01;sell=56.89@2005-03-31;mret=0.0248,-0.041695603760059985
2005-03,rank_tail,2005-02-15,2005-03-31,2005-04-01,2005-04-29,BIIB:lb=-0.4852;buy=34.51@2005-04-01;sell=36.24@2005-04-29;mret=0.0501 | CIEN:lb=-0.3791;buy=12.04@2005-04-01;sell=16.10@2005-04-29;mret=0.3372 | GDW:lb=-0.3462;buy=0.47@2005-04-01;sell=0.44@2005-04-29;mret=-0.0588 | KMG:lb=-0.2913;buy=5.98@2005-04-01;sell=6.03@2005-04-29;mret=0.0077 | WAT:lb=-0.2829;buy=35.79@2005-04-01;sell=39.63@2005-04-29;mret=0.1073 | BBBY:lb=-0.2390;buy=42.99@2005-04-01;sell=35.28@2005-04-29;mret=-0.1793 | AIG:lb=-0.2274;buy=663.85@2005-04-01;sell=609.22@2005-04-29;mret=-0.0823 | NTAP:lb=-0.1950;buy=20.51@2005-04-01;sell=19.77@2005-04-29;mret=-0.0358 | EA:lb=-0.1930;buy=50.35@2005-04-01;sell=51.91@2005-04-29;mret=0.0311 | VIAV:lb=-0.1733;buy=7.60@2005-04-01;sell=6.73@2005-04-29;mret=-0.1138,0.010593137968336608
2005-04,rank_tail,2005-03-17,2005-04-29,2005-05-02,2005-05-31,SANM:lb=-0.2647;buy=24.00@2005-05-02;sell=30.60@2005-05-31;mret=0.2750 | ADM:lb=-0.2612;buy=10.87@2005-05-02;sell=12.05@2005-05-31;mret=0.1082 | TER:lb=-0.2493;buy=10.14@2005-05-02;sell=11.98@2005-05-31;mret=0.1806 | BBBY:lb=-0.2431;buy=35.28@2005-05-02;sell=38.29@2005-05-31;mret=0.0853 | GDW:lb=-0.2381;buy=0.44@2005-05-02;sell=0.28@2005-05-31;mret=-0.3750 | HOG:lb=-0.2183;buy=29.90@2005-05-02;sell=31.18@2005-05-31;mret=0.0427 | ROK:lb=-0.2124;buy=29.93@2005-05-02;sell=33.41@2005-05-31;mret=0.1164 | F:lb=-0.2110;buy=4.44@2005-05-02;sell=4.86@2005-05-31;mret=0.0955 | EA:lb=-0.2015;buy=51.91@2005-05-02;sell=51.08@2005-05-31;mret=-0.0159 | NOV:lb=-0.2012;buy=13.97@2005-05-02;sell=15.82@2005-05-31;mret=0.1324,0.06434302835873895
2005-05,rank_tail,2005-04-18,2005-05-31,2005-06-01,2005-06-30,GDW:lb=-0.3750;buy=0.28@2005-06-01;sell=0.19@2005-06-30;mret=-0.3000 | GLK:lb=-0.2692;buy=0.19@2005-06-01;sell=0.28@2005-06-30;mret=0.4737 | TAP:lb=-0.2251;buy=18.09@2005-06-01;sell=19.18@2005-06-30;mret=0.0604 | GR:lb=-0.2000;buy=32.00@2005-06-01;sell=30.40@2005-06-30;mret=-0.0500 | BSX:lb=-0.1190;buy=27.09@2005-06-01;sell=27.00@2005-06-30;mret=-0.0033 | AES:lb=-0.0992;buy=9.62@2005-06-01;sell=10.58@2005-06-30;mret=0.1001 | CIN:lb=-0.0952;buy=846.70@2005-06-01;sell=1003.98@2005-06-30;mret=0.1858 | GS:lb=-0.0896;buy=70.69@2005-06-01;sell=73.97@2005-06-30;mret=0.0464 | NEM:lb=-0.0859;buy=25.28@2005-06-01;sell=26.49@2005-06-30;mret=0.0481,0.06488388331172201
2005-06,rank_tail,2005-05-18,2005-06-30,2005-07-01,2005-07-29,GDW:lb=-0.3000;buy=0.19@2005-07-01;sell=0.17@2005-07-29;mret=-0.1429 | BOL:lb=-0.1837;buy=2.00@2005-07-01;sell=1.88@2005-07-29;mret=-0.0625 | CAG:lb=-0.1523;buy=8.82@2005-07-01;sell=8.75@2005-07-29;mret=-0.0078 | NUE:lb=-0.1303;buy=12.68@2005-07-01;sell=15.41@2005-07-29;mret=0.2155 | UVN:lb=-0.1250;buy=0.70@2005-07-01;sell=1.60@2005-07-29;mret=1.2857 | BIIB:lb=-0.1225;buy=34.45@2005-07-01;sell=39.29@2005-07-29;mret=0.1405 | BSX:lb=-0.1176;buy=27.00@2005-07-01;sell=28.95@2005-07-29;mret=0.0722 | BDX:lb=-0.1078;buy=36.39@2005-07-01;sell=38.40@2005-07-29;mret=0.0553 | TT:lb=-0.1014;buy=15.82@2005-07-01;sell=17.34@2005-07-29;mret=0.0956,0.15464240462164192
2005-07,rank_tail,2005-06-16,2005-07-29,2005-08-01,2005-08-31,GR:lb=-0.2245;buy=30.40@2005-08-01;sell=33.60@2005-08-31;mret=0.1053 | NTAP:lb=-0.1502;buy=18.91@2005-08-01;sell=17.59@2005-08-31;mret=-0.0698 | GDW:lb=-0.1429;buy=0.17@2005-08-01;sell=0.14@2005-08-31;mret=-0.1667 | SANM:lb=-0.1403;buy=28.68@2005-08-01;sell=30.42@2005-08-31;mret=0.0607 | ADBE:lb=-0.0855;buy=29.64@2005-08-01;sell=27.04@2005-08-31;mret=-0.0877 | DDS:lb=-0.0840;buy=14.91@2005-08-01;sell=14.68@2005-08-31;mret=-0.0153 | XRX:lb=-0.0839;buy=15.74@2005-08-01;sell=15.98@2005-08-31;mret=0.0151 | ADSK:lb=-0.0772;buy=34.19@2005-08-01;sell=43.20@2005-08-31;mret=0.2635 | C:lb=-0.0758;buy=277.45@2005-08-01;sell=279.18@2005-08-31;mret=0.0062 | IP:lb=-0.0752;buy=13.75@2005-08-01;sell=13.53@2005-08-31;mret=-0.0159,0.06737305268468385
2005-08,rank_tail,2005-07-20,2005-08-31,2005-09-01,2005-09-30,GDW:lb=-0.3750;buy=0.14@2005-09-01;sell=0.28@2005-09-30;mret=1.0000 | EMN:lb=-0.1735;buy=12.98@2005-09-01;sell=12.82@2005-09-30;mret=-0.0120 | NTAP:lb=-0.1630;buy=17.59@2005-09-01;sell=17.60@2005-09-30;mret=0.0004 | SANM:lb=-0.1536;buy=30.42@2005-09-01;sell=25.74@2005-09-30;mret=-0.1538 | LEG:lb=-0.1484;buy=10.62@2005-09-01;sell=8.92@2005-09-30;mret=-0.1601 | EP:lb=-0.1429;buy=5.76@2005-09-01;sell=6.72@2005-09-30;mret=0.1667 | PTC:lb=-0.1404;buy=15.15@2005-09-01;sell=17.42@2005-09-30;mret=0.1502 | FNMA:lb=-0.1348;buy=46.85@2005-09-01;sell=41.14@2005-09-30;mret=-0.1219 | TJX:lb=-0.1304;buy=4.01@2005-09-01;sell=3.92@2005-09-30;mret=-0.0206 | CSCO:lb=-0.1243;buy=11.46@2005-09-01;sell=11.66@2005-09-30;mret=0.0170,0.08635840572834685
2005-09,rank_tail,2005-08-18,2005-09-30,2005-10-03,2005-10-31,LEG:lb=-0.1908;buy=8.92@2005-10-03;sell=8.85@2005-10-31;mret=-0.0079 | ZBH:lb=-0.1664;buy=59.53@2005-10-03;sell=55.10@2005-10-31;mret=-0.0743 | GR:lb=-0.1556;buy=30.40@2005-10-03;sell=24.80@2005-10-31;mret=-0.1842 | AZO:lb=-0.1530;buy=83.25@2005-10-03;sell=80.90@2005-10-31;mret=-0.0282 | BSX:lb=-0.1508;buy=23.37@2005-10-03;sell=25.12@2005-10-31;mret=0.0749 | FITB:lb=-0.1377;buy=19.76@2005-10-03;sell=21.57@2005-10-31;mret=0.0917 | BC:lb=-0.1366;buy=28.19@2005-10-03;sell=28.49@2005-10-31;mret=0.0106 | HRB:lb=-0.1321;buy=11.76@2005-10-03;sell=12.20@2005-10-31;mret=0.0367 | THC:lb=-0.1192;buy=44.92@2005-10-03;sell=33.68@2005-10-31;mret=-0.2502 | FNMA:lb=-0.1170;buy=41.14@2005-10-03;sell=43.86@2005-10-31;mret=0.0662,-0.025168693726255298
2005-10,rank_tail,2005-09-19,2005-10-31,2005-11-01,2005-11-30,GR:lb=-0.2791;buy=24.80@2005-11-01;sell=25.60@2005-11-30;mret=0.0323 | THC:lb=-0.2773;buy=33.68@2005-11-01;sell=31.28@2005-11-30;mret=-0.0713 | UIS:lb=-0.2594;buy=51.10@2005-11-01;sell=61.50@2005-11-30;mret=0.2035 | KMG:lb=-0.2125;buy=5.82@2005-11-01;sell=5.78@2005-11-30;mret=-0.0079 | SYK:lb=-0.1895;buy=32.84@2005-11-01;sell=34.62@2005-11-30;mret=0.0543 | MAT:lb=-0.1787;buy=8.75@2005-11-01;sell=10.18@2005-11-30;mret=0.1632 | CVS:lb=-0.1722;buy=16.19@2005-11-01;sell=17.92@2005-11-30;mret=0.1069 | STZ:lb=-0.1676;buy=20.15@2005-11-01;sell=20.22@2005-11-30;mret=0.0034 | SANM:lb=-0.1667;buy=21.90@2005-11-01;sell=24.84@2005-11-30;mret=0.1342 | APA:lb=-0.1654;buy=45.71@2005-11-01;sell=46.75@2005-11-30;mret=0.0227,0.07968365488782592
